"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 10 07:46:01 GMT 2024","Thu Oct 10 07:46:01 GMT 2024","6","chromium","createUser.spec.ts","","","","API SignUp Incorrect Email format",""
"failed","Thu Oct 10 07:46:20 GMT 2024","Thu Oct 10 07:46:20 GMT 2024","6","chromium","purchase.spec.ts","","","","env",""
"failed","Thu Oct 10 07:46:07 GMT 2024","Thu Oct 10 07:46:07 GMT 2024","9","chromium","createUser.spec.ts","","","","Sign up. Email validation",""
"failed","Thu Oct 10 07:46:05 GMT 2024","Thu Oct 10 07:46:05 GMT 2024","6","chromium","createUser.spec.ts","","","","Sign in via API",""
"failed","Thu Oct 10 07:46:02 GMT 2024","Thu Oct 10 07:46:02 GMT 2024","6","chromium","createUser.spec.ts","","","","Sign up",""
"failed","Thu Oct 10 07:46:13 GMT 2024","Thu Oct 10 07:46:13 GMT 2024","6","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect Email format",""
"failed","Thu Oct 10 07:46:04 GMT 2024","Thu Oct 10 07:46:04 GMT 2024","6","chromium","createUser.spec.ts","","","","Sign up via API",""
"failed","Thu Oct 10 07:46:12 GMT 2024","Thu Oct 10 07:46:12 GMT 2024","6","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect Email",""
"failed","Thu Oct 10 07:46:10 GMT 2024","Thu Oct 10 07:46:10 GMT 2024","6","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect password",""
"failed","Thu Oct 10 07:46:16 GMT 2024","Thu Oct 10 07:46:16 GMT 2024","6","chromium","purchase.spec.ts","","","","Continue shoping with API registration",""
"failed","Thu Oct 10 07:46:09 GMT 2024","Thu Oct 10 07:46:09 GMT 2024","6","chromium","createUser.spec.ts","","","","Sign up. Password validation",""
"failed","Thu Oct 10 07:46:15 GMT 2024","Thu Oct 10 07:46:15 GMT 2024","7","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Empty Password",""
"failed","Thu Oct 10 07:46:18 GMT 2024","Thu Oct 10 07:46:18 GMT 2024","6","chromium","purchase.spec.ts","","","","API preconditions for Checkout",""
